join_index,sampling_index,origin,destination,area,ttpTravelTime
226,76,"-19.374368 , 147.05741460000002","-19.374082100000003 , 146.67502280000002",urban-rural,2689
227,77,"-28.0771881 , 153.0501867","-27.9130977 , 153.21508010000002",rural-urban,2669
228,78,"-27.1342716 , 152.80747770000002","-27.134647400000002 , 153.0176278",rural-urban,2667
229,79,"-24.877451200000003 , 152.3743661","-25.142529900000003 , 152.1095707",urban-rural,2663
230,80,"-27.6112642 , 151.9421211","-27.370419100000003 , 152.1828505",urban-rural,2741
231,81,"-27.508600400000002 , 152.9667326","-27.806913400000003 , 152.6687135",rural-urban,2744
232,82,"-21.376240900000003 , 148.9480253","-21.1043968 , 149.22051290000002",urban-urban,2650
233,83,"-27.0836027 , 152.95276030000002","-26.5566728 , 152.9529371",urban-urban,2641
234,84,"-27.5116543 , 152.9440093","-27.511014300000003 , 152.59699840000002",urban-rural,2770
235,85,"-18.586277300000003 , 146.05420410000002","-18.7022234 , 146.05350140000002",rural-rural,2773
236,86,"-27.988955400000002 , 152.99474560000002","-27.699730300000002 , 153.28457590000002",urban-rural,2776
237,87,"-27.081973100000003 , 152.9523202","-27.236962700000003 , 152.7977724",urban-rural,2623
238,88,"-23.1432903 , 150.37103190000002","-23.374384600000003 , 150.6020454",urban-urban,2621
239,89,"-19.284147700000002 , 146.7043036","-19.2848402 , 147.0299177",urban-rural,2617
240,90,"-23.425642200000002 , 150.5847736","-23.3559395 , 150.655201",urban-rural,2611
241,91,"-17.065568600000002 , 145.7705674","-16.905195900000002 , 145.6104123",rural-urban,2789
242,92,"-16.988182000000002 , 145.7358081","-16.804862500000002 , 145.5521367",urban-urban,2608
243,93,"-21.0389681 , 149.154267","-21.0395061 , 148.8068336",urban-rural,2603
244,94,"-23.2732952 , 150.81898750000002","-23.273009300000002 , 150.5148035",urban-urban,2806
245,95,"-20.4470169 , 148.44686140000002","-20.557349900000002 , 148.5564746",urban-urban,2591
246,96,"-26.7014125 , 153.11908010000002","-26.701698200000003 , 152.766345",urban-rural,2818
247,97,"-26.739793600000002 , 153.0540434","-26.739431200000002 , 152.73282170000002",urban-rural,2571
248,98,"-27.4842274 , 152.9930003","-27.863483700000003 , 152.6130353",urban-rural,2835
249,99,"-26.866877900000002 , 152.9073011","-27.085421 , 153.1266306",urban-urban,2555
250,100,"-19.2997126 , 146.69504170000002","-19.2992771 , 147.0270988",urban-rural,2538
251,101,"-22.575371800000003 , 144.529912","-22.3998573 , 144.7061232",urban-rural,2868
252,102,"-21.1320158 , 149.18867410000001","-20.886771200000002 , 148.9438287",urban-urban,2524
253,103,"-21.0588276 , 149.048189","-21.303041500000003 , 149.2922301",urban-urban,2520
254,104,"-24.834000800000002 , 152.38540790000002","-24.8337764 , 152.09828860000002",urban-rural,2493
255,105,"-19.1575062 , 146.60240760000002","-19.4161888 , 146.86134990000002",urban-urban,2480
256,106,"-27.6580009 , 151.8708981","-27.6577236 , 152.244481",urban-rural,2925
257,107,"-27.6476283 , 153.059897","-27.8661041 , 152.84091",rural-rural,2939
258,108,"-26.793741100000002 , 153.13399940000002","-26.4837178 , 152.8246066",urban-rural,2949
259,109,"-16.788102600000002 , 145.6721966","-16.9421348 , 145.825521",rural-rural,2954
260,110,"-23.333965600000003 , 150.5376898","-23.7257177 , 150.1456042",urban-rural,2962
261,111,"-27.5264194 , 153.04055250000002","-27.863027700000004 , 152.7036898",urban-rural,2964
262,112,"-21.1150442 , 149.1768887","-20.886284500000002 , 148.9484917",urban-urban,2424
263,113,"-23.4935455 , 150.6323594","-23.797109600000002 , 150.63284960000001",rural-rural,3004
264,114,"-27.548659400000002 , 151.92548580000002","-27.5485484 , 152.5289057",urban-urban,3006
265,115,"-23.368494700000003 , 146.47650810000002","-23.5600692 , 146.6674659",rural-rural,3009
266,116,"-27.5263083 , 153.0052592","-27.9531394 , 152.5784542",urban-rural,3014
267,117,"-27.304184900000003 , 152.7129731","-27.3038439 , 152.9939668",rural-urban,3020
268,118,"-21.1382991 , 149.1837288","-21.641818 , 149.18394170000002",urban-rural,3020
269,119,"-23.493817200000002 , 150.28906030000002","-23.4935455 , 150.6323594",rural-rural,2375
270,120,"-23.1061613 , 150.22034530000002","-23.355371100000003 , 150.4703002",rural-urban,3032
271,121,"-21.0775244 , 149.2113076","-21.0768108 , 148.7935744",urban-rural,3033
272,122,"-23.64583 , 150.3837152","-23.283272800000002 , 150.38400710000002",urban-urban,3034
273,123,"-19.488281 , 146.86347750000002","-19.080412900000002 , 146.4563477",rural-rural,3036
274,124,"-27.453083300000003 , 153.0708394","-27.0222625 , 153.07142580000001",urban-urban,3040
275,125,"-27.6452606 , 151.9264249","-27.644787 , 152.38849810000002",urban-urban,3045
276,126,"-23.130189100000003 , 150.7354587","-23.1304705 , 150.3703371",urban-rural,3048
277,127,"-21.7176857 , 149.1922168","-21.8894063 , 149.36473940000002",urban-urban,3051
278,128,"-26.496255700000003 , 152.90757340000002","-26.889596200000003 , 152.90676140000002",urban-urban,3052
279,129,"-27.590265900000002 , 151.9272488","-27.5906713 , 152.54384190000002",urban-rural,3053
280,130,"-26.3982624 , 153.0621045","-26.890306300000002 , 153.06272900000002",urban-rural,3056
281,131,"-27.2625309 , 153.0314054","-26.6621628 , 153.0308172",urban-rural,3059
282,132,"-26.4238302 , 153.1022608","-26.2336163 , 152.91238990000002",urban-rural,3062
283,133,"-27.676104000000002 , 152.749207","-27.418314100000003 , 153.0072412",urban-urban,2337
284,134,"-23.1495752 , 150.7557572","-23.1492396 , 150.44639170000002",urban-urban,3065
285,135,"-27.238910200000003 , 153.0469751","-26.7309075 , 153.04724190000002",urban-urban,3065
286,136,"-27.384163500000003 , 153.0698078","-26.837114500000002 , 153.0698097",urban-rural,3071
287,137,"-27.779849600000002 , 153.268269","-27.938222500000002 , 153.1097885",urban-rural,2325
288,138,"-27.101262100000003 , 152.946855","-26.514093900000002 , 152.9467483",urban-rural,3081
289,139,"-27.6807425 , 152.574372","-27.496387400000003 , 152.75843",rural-rural,2314
290,140,"-26.3872466 , 152.9284666","-26.848087900000003 , 152.9285824",urban-urban,3091
291,141,"-23.3131226 , 150.509893","-23.3130767 , 150.33056240000002",rural-urban,2307
292,142,"-27.944312200000002 , 152.7685902","-27.658594 , 153.0549085",rural-urban,3095
293,143,"-27.8228891 , 153.09548270000002","-27.3838219 , 153.0953907",urban-urban,3099
294,144,"-27.295162700000002 , 152.985929","-26.671256600000003 , 152.9864695",urban-rural,3101
295,145,"-27.5642141 , 152.425805","-27.564041800000002 , 153.0986962",urban-urban,3103
296,146,"-16.8378173 , 145.6954095","-17.1732005 , 145.6952805",urban-rural,3103
297,147,"-23.498789900000002 , 150.2900717","-23.2533005 , 150.28929000000002",rural-rural,3104
298,148,"-23.006581800000003 , 150.24397820000002","-23.334329200000003 , 150.5719119",rural-urban,3104
299,149,"-26.6222333 , 152.94548160000002","-27.1765781 , 152.9452252",urban-urban,3105
