join_index,sampling_index,origin,destination,area,journeyClass,ttpTravelTime,metadata
33,33,"44.662319000000004 , -63.479660900000006","44.732162100000004 , -63.41011280000001",urban-urban,urban,1188,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""90b54bdec3334b93bd285d61c8cff0ef""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""ea2747234a70431790c1691cf7dc34eb""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""914cbeb6d8264f728ab6c19c744d0891""}}"
35,35,"45.4564837 , -61.7282148","45.4566687 , -61.8417188",urban-urban,urban,1187,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""90b54bdec3334b93bd285d61c8cff0ef""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""ea2747234a70431790c1691cf7dc34eb""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""914cbeb6d8264f728ab6c19c744d0891""}}"
37,37,"43.913888 , -65.907326","43.9138189 , -65.832874",urban-urban,urban,1187,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""90b54bdec3334b93bd285d61c8cff0ef""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""ea2747234a70431790c1691cf7dc34eb""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""914cbeb6d8264f728ab6c19c744d0891""}}"
38,38,"45.9891925 , -61.2544435","46.074258300000004 , -61.254543700000006",urban-urban,urban,1213,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""90b54bdec3334b93bd285d61c8cff0ef""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""ea2747234a70431790c1691cf7dc34eb""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""914cbeb6d8264f728ab6c19c744d0891""}}"
39,39,"45.600729400000006 , -63.39895550000001","45.685897000000004 , -63.3993449",urban-urban,urban,1187,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""90b54bdec3334b93bd285d61c8cff0ef""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""ea2747234a70431790c1691cf7dc34eb""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""914cbeb6d8264f728ab6c19c744d0891""}}"
40,40,"44.7037483 , -65.41100870000001","44.7668848 , -65.4737767",urban-rural,urban,1214,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""90b54bdec3334b93bd285d61c8cff0ef""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""ea2747234a70431790c1691cf7dc34eb""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""914cbeb6d8264f728ab6c19c744d0891""}}"
41,41,"45.443527200000005 , -61.7307447","45.524898500000006 , -61.812188400000004",urban-urban,urban,1214,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""90b54bdec3334b93bd285d61c8cff0ef""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""ea2747234a70431790c1691cf7dc34eb""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""914cbeb6d8264f728ab6c19c744d0891""}}"
42,42,"46.0702232 , -61.4687259","45.9773852 , -61.468623",urban-urban,urban,1186,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""90b54bdec3334b93bd285d61c8cff0ef""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""ea2747234a70431790c1691cf7dc34eb""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""914cbeb6d8264f728ab6c19c744d0891""}}"
43,43,"44.7312406 , -63.916632400000005","44.731175900000004 , -63.80563",urban-urban,urban,1186,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""90b54bdec3334b93bd285d61c8cff0ef""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""ea2747234a70431790c1691cf7dc34eb""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""914cbeb6d8264f728ab6c19c744d0891""}}"
44,44,"44.5899158 , -64.6560583","44.672350300000005 , -64.73847810000001",urban-urban,urban,1214,"{""sample_routes"":{""date"":""2026-09-14"",""run_id"":""90b54bdec3334b93bd285d61c8cff0ef""},""join_samples"":{""date"":""2026-09-14"",""run_id"":""ea2747234a70431790c1691cf7dc34eb""},""upload_data"":{""date"":""2026-09-14"",""run_id"":""914cbeb6d8264f728ab6c19c744d0891""}}"
