join_index,sampling_index,origin,destination,area,ttpTravelTime,metadata
14,14,"37.7390628 , 29.117031200000003","37.8315016 , 29.0248597",urban-urban,1810,"{""sample_routes"":{""date"":""2026-05-04"",""run_id"":""3ebadadff4624736ab2ecbe6c5b0e34f""},""join_samples"":{""date"":""2026-05-04"",""run_id"":""9310cc6ef64c44ecb447b8a8850b647e""},""upload_data"":{""date"":""2026-05-04"",""run_id"":""85a1fe30e0154a22a2ea6a7b813a2bfb""}}"
15,15,"37.731755 , 29.135807200000002","37.839230400000005 , 29.1360019",urban-urban,1790,"{""sample_routes"":{""date"":""2026-05-04"",""run_id"":""3ebadadff4624736ab2ecbe6c5b0e34f""},""join_samples"":{""date"":""2026-05-04"",""run_id"":""9310cc6ef64c44ecb447b8a8850b647e""},""upload_data"":{""date"":""2026-05-04"",""run_id"":""85a1fe30e0154a22a2ea6a7b813a2bfb""}}"
16,16,"38.671750700000004 , 35.570002200000005","38.757654800000005 , 35.4840937",urban-urban,1789,"{""sample_routes"":{""date"":""2026-05-04"",""run_id"":""3ebadadff4624736ab2ecbe6c5b0e34f""},""join_samples"":{""date"":""2026-05-04"",""run_id"":""9310cc6ef64c44ecb447b8a8850b647e""},""upload_data"":{""date"":""2026-05-04"",""run_id"":""85a1fe30e0154a22a2ea6a7b813a2bfb""}}"
17,17,"37.7425738 , 29.125861800000003","37.8398758 , 29.027991800000002",urban-urban,1789,"{""sample_routes"":{""date"":""2026-05-04"",""run_id"":""3ebadadff4624736ab2ecbe6c5b0e34f""},""join_samples"":{""date"":""2026-05-04"",""run_id"":""9310cc6ef64c44ecb447b8a8850b647e""},""upload_data"":{""date"":""2026-05-04"",""run_id"":""85a1fe30e0154a22a2ea6a7b813a2bfb""}}"
18,18,"40.7465014 , 29.792310800000003","40.746091500000006 , 30.054340200000002",urban-urban,1788,"{""sample_routes"":{""date"":""2026-05-04"",""run_id"":""3ebadadff4624736ab2ecbe6c5b0e34f""},""join_samples"":{""date"":""2026-05-04"",""run_id"":""9310cc6ef64c44ecb447b8a8850b647e""},""upload_data"":{""date"":""2026-05-04"",""run_id"":""85a1fe30e0154a22a2ea6a7b813a2bfb""}}"
19,19,"40.6982367 , 29.860529200000002","40.7616602 , 29.8607961",urban-urban,1812,"{""sample_routes"":{""date"":""2026-05-04"",""run_id"":""3ebadadff4624736ab2ecbe6c5b0e34f""},""join_samples"":{""date"":""2026-05-04"",""run_id"":""9310cc6ef64c44ecb447b8a8850b647e""},""upload_data"":{""date"":""2026-05-04"",""run_id"":""85a1fe30e0154a22a2ea6a7b813a2bfb""}}"
20,20,"38.2322482 , 28.105149800000003","38.232393800000004 , 28.2204464",urban-rural,1788,"{""sample_routes"":{""date"":""2026-05-04"",""run_id"":""3ebadadff4624736ab2ecbe6c5b0e34f""},""join_samples"":{""date"":""2026-05-04"",""run_id"":""9310cc6ef64c44ecb447b8a8850b647e""},""upload_data"":{""date"":""2026-05-04"",""run_id"":""85a1fe30e0154a22a2ea6a7b813a2bfb""}}"
21,21,"37.9638307 , 32.5226478","37.847963500000006 , 32.4065238",urban-urban,1812,"{""sample_routes"":{""date"":""2026-05-04"",""run_id"":""3ebadadff4624736ab2ecbe6c5b0e34f""},""join_samples"":{""date"":""2026-05-04"",""run_id"":""9310cc6ef64c44ecb447b8a8850b647e""},""upload_data"":{""date"":""2026-05-04"",""run_id"":""85a1fe30e0154a22a2ea6a7b813a2bfb""}}"
22,22,"37.8885524 , 32.4544949","37.7994477 , 32.5430141",urban-urban,1812,"{""sample_routes"":{""date"":""2026-05-04"",""run_id"":""3ebadadff4624736ab2ecbe6c5b0e34f""},""join_samples"":{""date"":""2026-05-04"",""run_id"":""9310cc6ef64c44ecb447b8a8850b647e""},""upload_data"":{""date"":""2026-05-04"",""run_id"":""85a1fe30e0154a22a2ea6a7b813a2bfb""}}"
23,23,"40.9804205 , 39.825843400000004","40.9806788 , 39.6330304",urban-urban,1814,"{""sample_routes"":{""date"":""2026-05-04"",""run_id"":""3ebadadff4624736ab2ecbe6c5b0e34f""},""join_samples"":{""date"":""2026-05-04"",""run_id"":""9310cc6ef64c44ecb447b8a8850b647e""},""upload_data"":{""date"":""2026-05-04"",""run_id"":""85a1fe30e0154a22a2ea6a7b813a2bfb""}}"
